row,obsid,sourceName,beam,frequency,driftRate,snr,n_beams,n_beams_formed,beam_frac,n_obs_at_freq,n_obs_at_freq_drift,ra,dec
35336,MeerKAT:array_1:20250720T220520Z,Gaia_4426343581016497408,31,574.9954333305359,0.02566835632933362,5083.419,1,64,0.015625,1,1,15.856369562157536,4.954321704660728
100216,MeerKAT:array_1:20250715T200216Z,Gaia_4426424566919989248,62,674.992827296257,0.13689790042311265,2255.98,1,64,0.015625,1,1,15.808985673515076,5.3454846017681
104004,MeerKAT:array_1:20250721T203933Z,ex_NGC_7222,52,674.9922872185707,0.11122954409377903,1217.5797,3,64,0.046875,1,1,22.181039133333336,2.105821
104010,MeerKAT:array_1:20250721T203933Z,ex_LEDA_1216752,54,674.9922872185707,0.11122954409377903,1206.474,3,64,0.046875,1,1,22.183777799999998,2.125833
104028,MeerKAT:array_1:20250721T203933Z,ex_LEDA_1225072,60,674.9922872185707,0.11122954409377903,1199.0797,3,64,0.046875,1,1,22.194694466666665,2.381389
82812,MeerKAT:array_1:20250723T234200Z,Gaia_2682517727042043008,46,647.2499758601189,-0.30802027595200343,1020.2344,4,64,0.0625,1,1,22.232325667188825,1.899291916874337
93475,MeerKAT:array_1:20250706T215041Z,ex_SDSS_J154927.06+052049.9,22,674.9956786632538,0.0427805938822227,958.52765,3,64,0.046875,1,1,15.824183333333336,5.347205
82810,MeerKAT:array_1:20250723T234200Z,Gaia_2682791574156858496,44,647.2499758601189,-0.316576394728448,948.0806,4,64,0.0625,1,1,22.188238074088574,2.3176952492112624
93448,MeerKAT:array_1:20250706T215041Z,Gaia_4429476467597995008,1,674.9956786632538,0.0427805938822227,934.9125,3,64,0.046875,1,1,15.829329098814846,5.911233323604741
82807,MeerKAT:array_1:20250723T234200Z,Gaia_2682779239010774400,41,647.2499758601189,-0.316576394728448,719.8045,4,64,0.0625,1,1,22.18952328376041,2.2528421836323433
82780,MeerKAT:array_1:20250723T234200Z,Gaia_2682509789942468352,1,647.2499788999557,-0.35080086983422615,641.30145,1,64,0.015625,1,1,22.229614401536384,1.7035575524497921
107737,MeerKAT:array_1:20250717T021511Z,Gaia_2682555041717977984,24,551.9477396607399,-0.00855611877644454,635.246,1,64,0.015625,1,1,22.195074494064556,1.887722468987559
82806,MeerKAT:array_1:20250723T234200Z,Gaia_2682101321372939648,37,647.2499758601189,-0.316576394728448,628.12604,4,64,0.0625,1,1,22.191764548161178,1.3692785273035584
254,MeerKAT:array_1:20250706T001134Z,Gaia_2699001055610231808,25,551.9864256381989,-0.0427805938822227,605.28613,2,64,0.03125,1,1,21.490995573457752,4.704553770472363
263,MeerKAT:array_1:20250706T001134Z,Gaia_2699234530032694272,33,551.9864256381989,-0.0427805938822227,589.4016,2,64,0.03125,1,1,21.47520989331308,5.239783150191791
179777,MeerKAT:array_1:20250707T004747Z,Gaia_2682471616273135488,57,624.9965338110924,0.00855611877644454,532.4845,3,64,0.046875,1,1,22.225870208241492,1.5376085463874571
179694,MeerKAT:array_1:20250707T004747Z,Gaia_2682469004933009792,16,624.9965338110924,0.00855611877644454,518.0825,3,64,0.046875,1,1,22.2319515390668,1.5070191526009473
179761,MeerKAT:array_1:20250707T004747Z,Gaia_2682101321372939648,49,624.9965338110924,0.00855611877644454,517.69684,3,64,0.046875,1,1,22.191764548161178,1.3692785273035584
67994,MeerKAT:array_1:20250713T183111Z,Gaia_1315507976930320384,29,623.9695847034454,-0.11122954409377903,481.4928,2,64,0.03125,1,1,16.125316790433885,26.546467501161537
67954,MeerKAT:array_1:20250713T183111Z,Gaia_1315969565655550080,22,623.9695847034454,-0.11122954409377903,469.05035,2,64,0.03125,1,1,16.150126127003265,27.116348873987057
100115,MeerKAT:array_1:20250715T200216Z,Gaia_4426437241363224448,28,674.9957850575447,0.11122954409377903,466.08755,3,64,0.046875,1,1,15.812936575766301,5.5333691157744855
100145,MeerKAT:array_1:20250715T200216Z,Gaia_4426378353072082944,38,674.9957850575447,0.11122954409377903,463.19196,3,64,0.046875,1,1,15.869295275018299,5.335554242376924
100073,MeerKAT:array_1:20250715T200216Z,Gaia_4426474762197643136,14,674.9957850575447,0.11122954409377903,462.1515,3,64,0.046875,1,1,15.839004275794569,5.909935524588835
